freq_hz,delta_db_raw,delta_db_smooth
1.212890625000000000e+03,-2.344455718994140625e+00,-3.725106716156005859e+00
1.218750000000000000e+03,-2.030164718627929688e+00,-3.619056701660156250e+00
1.224609375000000000e+03,-1.835239410400390625e+00,-3.531386375427246094e+00
1.230468750000000000e+03,-2.350090026855468750e+00,-3.463001489639282227e+00
1.236328125000000000e+03,-2.938953399658203125e+00,-3.416157722473144531e+00
1.242187500000000000e+03,-3.407985687255859375e+00,-3.374683380126953125e+00
1.248046875000000000e+03,-3.679340362548828125e+00,-3.340703248977661133e+00
1.253906250000000000e+03,-3.319690704345703125e+00,-3.308541297912597656e+00
1.259765625000000000e+03,-3.596488952636718750e+00,-3.271664381027221680e+00
1.265625000000000000e+03,-3.873479843139648438e+00,-3.239768505096435547e+00
1.271484375000000000e+03,-3.222991943359375000e+00,-3.231466293334960938e+00
1.277343750000000000e+03,-3.117750167846679688e+00,-3.223873853683471680e+00
1.283203125000000000e+03,-2.631219863891601562e+00,-3.198778629302978516e+00
1.289062500000000000e+03,-2.561279296875000000e+00,-3.139708518981933594e+00
1.294921875000000000e+03,-2.709997177124023438e+00,-3.048932552337646484e+00
1.300781250000000000e+03,-3.346391677856445312e+00,-2.937553167343139648e+00
1.306640625000000000e+03,-3.440246582031250000e+00,-2.824940443038940430e+00
1.312500000000000000e+03,-3.367309570312500000e+00,-2.734183073043823242e+00
1.318359375000000000e+03,-3.031335830688476562e+00,-2.647269248962402344e+00
1.324218750000000000e+03,-2.998327255249023438e+00,-2.565709114074707031e+00
1.330078125000000000e+03,-2.788265228271484375e+00,-2.478477716445922852e+00
1.335937500000000000e+03,-3.360902786254882812e+00,-2.387016773223876953e+00
1.341796875000000000e+03,-3.317489624023437500e+00,-2.283323287963867188e+00
1.347656250000000000e+03,-3.127399444580078125e+00,-2.182534217834472656e+00
1.353515625000000000e+03,-2.609685897827148438e+00,-2.097815513610839844e+00
1.359375000000000000e+03,-1.910114288330078125e+00,-2.015508174896240234e+00
1.365234375000000000e+03,-1.571361541748046875e+00,-1.935726404190063477e+00
1.371093750000000000e+03,-9.895172119140625000e-01,-1.861331224441528320e+00
1.376953125000000000e+03,-7.703056335449218750e-01,-1.798816442489624023e+00
1.382812500000000000e+03,-6.631164550781250000e-01,-1.759521842002868652e+00
1.388671875000000000e+03,-4.274139404296875000e-01,-1.727149128913879395e+00
1.394531250000000000e+03,-5.024070739746093750e-01,-1.740839242935180664e+00
1.400390625000000000e+03,-1.133512496948242188e+00,-1.761934280395507812e+00
1.406250000000000000e+03,-1.926589965820312500e+00,-1.775111675262451172e+00
1.412109375000000000e+03,-2.733140945434570312e+00,-1.780877470970153809e+00
1.417968750000000000e+03,-3.520063400268554688e+00,-1.760859966278076172e+00
1.423828125000000000e+03,-3.668199539184570312e+00,-1.719377040863037109e+00
1.429687500000000000e+03,-2.985864639282226562e+00,-1.661766052246093750e+00
