start_sample,end_sample,start_sec,end_sec,len_samples
57323003,57323262,1194.2292291666668,1194.234625,259
57323513,57323884,1194.2398541666666,1194.2475833333333,371
57352162,57352307,1194.8367083333333,1194.8397291666668,145
57473687,57473832,1197.3684791666667,1197.3715,145
57477880,57478025,1197.4558333333334,1197.4588541666667,145
57512083,57512228,1198.1683958333333,1198.1714166666666,145
57516458,57516603,1198.2595416666666,1198.2625625,145
57520108,57520253,1198.3355833333333,1198.3386041666668,145
57537743,57538078,1198.7029791666666,1198.7099583333334,335
57572975,57573121,1199.4369791666666,1199.4400208333334,146
57573379,57573524,1199.4453958333334,1199.4484166666666,145
57592164,57592310,1199.83675,1199.8397916666668,146
57592369,57592718,1199.8410208333332,1199.8482916666667,349
57592880,57593025,1199.8516666666667,1199.8546875,145
57746042,57746187,1203.0425416666667,1203.0455625,145
57758924,57759146,1203.3109166666666,1203.3155416666666,222
57759231,57759454,1203.3173125,1203.3219583333334,223
57789155,57789300,1203.9407291666666,1203.94375,145
57792083,57792228,1204.0017291666666,1204.00475,145
57792390,57792638,1204.008125,1204.0132916666666,248
57797723,57798020,1204.1192291666666,1204.1254166666668,297
57805659,57805804,1204.2845625,1204.2875833333333,145
57838834,57839074,1204.9757083333334,1204.9807083333333,240
57841823,57842058,1205.0379791666667,1205.042875,235
57842395,57842540,1205.0498958333333,1205.0529166666668,145
57861184,57861329,1205.4413333333334,1205.4443541666667,145
57901042,57901299,1206.2717083333334,1206.2770625,257
57910395,57910540,1206.4665625,1206.4695833333333,145
57911611,57911775,1206.4918958333333,1206.4953125,164
57911826,57912107,1206.496375,1206.5022291666667,281
57913453,57913756,1206.5302708333334,1206.5365833333333,303
57913790,57913935,1206.5372916666668,1206.5403125,145
57918360,57918505,1206.6325,1206.6355208333334,145
57920344,57920489,1206.6738333333333,1206.6768541666668,145
57922533,57922687,1206.7194375,1206.7226458333334,154
57923052,57923198,1206.73025,1206.7332916666667,146
57924672,57924818,1206.764,1206.7670416666667,146
57981410,57981556,1207.9460416666666,1207.9490833333334,146
58019989,58020134,1208.7497708333333,1208.7527916666666,145
58063469,58063614,1209.6556041666668,1209.658625,145
58063639,58063784,1209.6591458333332,1209.6621666666667,145
58070776,58070990,1209.8078333333333,1209.8122916666666,214
58080806,58080952,1210.0167916666667,1210.0198333333333,146
58102268,58102413,1210.4639166666666,1210.4669375,145
58103647,58103792,1210.4926458333334,1210.4956666666667,145
58105104,58105329,1210.523,1210.5276875,225
58106496,58106760,1210.552,1210.5575,264
58109817,58109962,1210.6211875,1210.6242083333334,145
58119698,58119997,1210.8270416666667,1210.8332708333332,299
58120670,58120816,1210.8472916666667,1210.8503333333333,146
58120874,58121020,1210.8515416666667,1210.8545833333333,146
58121078,58121224,1210.8557916666666,1210.8588333333332,146
58121434,58121630,1210.8632083333334,1210.8672916666667,196
58121687,58121832,1210.8684791666667,1210.8715,145
58134420,58134565,1211.13375,1211.1367708333332,145
